city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,zips
Lodoga,Lodoga,CA,California,6011,Colusa,39.3041,-122.5058,95979
Miramiguoa Park,Miramiguoa Park,MO,Missouri,29071,Franklin,38.2389,-91.0688,63080
Severy,Severy,KS,Kansas,20073,Greenwood,37.622,-96.2273,67137
Sarita,Sarita,TX,Texas,48261,Kenedy,27.2235,-97.7955,78385
Latty,Latty,OH,Ohio,39125,Paulding,41.0879,-84.5832,45855
Harrells,Harrells,NC,North Carolina,37163,Sampson,34.7278,-78.2015,28444
Bellville,Bellville,GA,Georgia,13109,Evans,32.1526,-81.9743,30414 30417
Guthrie,Guthrie,TX,Texas,48269,King,33.6215,-100.329,79236
Runnelstown,Runnelstown,MS,Mississippi,28111,Perry,31.3779,-89.1143,39465
Bone Gap,Bone Gap,IL,Illinois,17047,Edwards,38.4449,-87.9976,62815
Hodges,Hodges,SC,South Carolina,45047,Greenwood,34.2876,-82.248,29653 29695
Weingarten,Weingarten,MO,Missouri,29186,Ste. Genevieve,37.8894,-90.2172,63670
Valley Hi,Valley Hi,OH,Ohio,39091,Logan,40.3162,-83.6759,43360
Farnam,Farnam,NE,Nebraska,31047,Dawson,40.7065,-100.2155,69029
Peever Flats,Peever Flats,SD,South Dakota,46109,Roberts,45.5234,-96.9356,57257
Volin,Volin,SD,South Dakota,46135,Yankton,42.9586,-97.1812,57072
Klagetoh,Klagetoh,AZ,Arizona,4001,Apache,35.501,-109.5283,86505
Hanover,Hanover,VA,Virginia,51085,Hanover,37.7668,-77.3707,23069
Moran,Moran,TX,Texas,48417,Shackelford,32.5471,-99.1663,76464
Lewis,Lewis,CO,Colorado,8083,Montezuma,37.5017,-108.66,81327
Little Meadows,Little Meadows,PA,Pennsylvania,42115,Susquehanna,41.9891,-76.1277,18830
Deering,Deering,AK,Alaska,2188,Northwest Arctic,66.0722,-162.7435,99736
Ames,Ames,NY,New York,36057,Montgomery,42.8373,-74.6015,13317
Mission Woods,Mission Woods,KS,Kansas,20091,Johnson,39.0341,-94.6107,66205
Louisville,Louisville,KS,Kansas,20149,Pottawatomie,39.2499,-96.3145,66547
Cameron,Cameron,LA,Louisiana,22023,Cameron,29.787,-93.2925,70631
Merom,Merom,IN,Indiana,18153,Sullivan,39.0559,-87.5672,47861
Nachusa,Nachusa,IL,Illinois,17103,Lee,41.8339,-89.3858,61057 61021
Whitesboro,Whitesboro,OK,Oklahoma,40079,Le Flore,34.6963,-94.8789,74949 74577
Captiva,Captiva,FL,Florida,12071,Lee,26.5205,-82.191,33924
Wellersburg,Wellersburg,PA,Pennsylvania,42111,Somerset,39.7306,-78.8478,15564 15545
Garvin,Garvin,OK,Oklahoma,40089,McCurtain,33.9561,-94.9357,74736 74745
Gilman,Gilman,VT,Vermont,50009,Essex,44.4135,-71.7157,05906 05904
Marquand,Marquand,MO,Missouri,29123,Madison,37.4287,-90.167,63655
Golovin,Golovin,AK,Alaska,2180,Nome,64.564,-162.9989,99762
Beverly,Beverly,KS,Kansas,20105,Lincoln,39.0138,-97.9755,67423
Sinai,Sinai,SD,South Dakota,46011,Brookings,44.2445,-97.044,57061
Leota,Leota,MN,Minnesota,27105,Nobles,43.8298,-96.0218,56153
Silex,Silex,MO,Missouri,29113,Lincoln,39.1254,-91.0574,63377
